Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall,Image Path
2017,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.382272342900214,8.30184854363766,
2018,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.0448587072015494,8.30184854363766,
2019,MPWR,Michael Hsing,40.0,Man,middle eastern,happy,0.1771625597029924,99.8228371143341,1.0883403941988945,5.914883688092232,0.1426544389687478,36.00728511810303,45.31221091747284,11.53462380170822,0.0101540885225404,3.095360190386032e-07,0.5765956360846758,82.27653503417969,0.2393851522356271,0.00387762702303,16.893455386161804,1.5512224692414605,8.30184854363766,
2010,AMAT,Michael R. Splinter,25.0,Man,white,happy,0.0051941959100076,99.9948024749756,0.5953301675617695,3.652380406856537,0.2025980502367019,43.55587065219879,26.698017120361328,25.29580295085907,1.1506953256912311e-05,6.947807346807665e-10,1.3713042923413354e-07,91.17316603660583,0.0005527745543076,0.0005083717041998,8.825760334730148,1.0046379482348673,0.8649127200622314,
2011,AMAT,Michael R. Splinter,33.0,Man,latino hispanic,happy,0.0005605884325632,99.99943971633913,1.83067936450243,5.84416389465332,0.507340719923377,32.32044577598572,20.78818678855896,38.70919048786163,0.0007306240546736,2.355881067385385e-06,0.0007053459636851,98.45457645438488,0.0836214374800361,0.0287993367803028,1.4315686885837355,0.7812955759155503,0.8649127200622314,
2012,AMAT,Michael R. Splinter,27.0,Man,latino hispanic,happy,0.0042319632484577,99.99576807022096,6.299692392349243,6.250797212123871,4.501885548233986,30.873852968215942,16.452114284038544,35.621652007102966,0.1639834139496088,0.0578819366637617,1.4839553274214268,92.98661351203918,0.2475464018061757,1.810634508728981,3.249390050768852,1.1019130851992305,0.8649127200622314,
2017,DXC,Mike Lawrie,,,,,,,,,,,,,,,,,,,,1.610714159759631,0.7386072274094657,
2018,DXC,Mike Lawrie,,,,,,,,,,,,,,,,,,,,0.6535809439989605,0.7386072274094657,
2019,DXC,Mike Lawrie,,,,,,,,,,,,,,,,,,,,0.7016098784355882,0.7386072274094657,
2010,KEYS,N/A (part of Agilent),,,,,,,,,,,,,,,,,,,,1.0,1.0,
2011,KEYS,N/A (part of Agilent),,,,,,,,,,,,,,,,,,,,1.0,1.0,
2012,KEYS,N/A (part of Agilent),,,,,,,,,,,,,,,,,,,,1.0,1.0,
2013,KEYS,N/A (part of Agilent),,,,,,,,,,,,,,,,,,,,1.0,1.0,
2019,SAIC,Nazzic Keene,51.0,Woman,white,happy,99.99819993972778,0.0018037142581306,0.0006767635568394,0.0009248726200894,8.54570672004229e-06,94.29168701171876,1.6883622854948044,4.018348082900047,2.3490185352414985e-07,9.561814231021092e-11,0.0012533980225271,99.9870538711548,0.0001186030885946,3.386364966218025e-06,0.0115722825285047,1.4029947881264724,1.4029947881264724,
2018,PANW,Nikesh Arora,47.0,Man,middle eastern,neutral,0.0008853327017277,99.99911785125732,0.1082314178347587,9.140826016664503,0.5481311585754156,5.45908510684967,75.89015364646912,8.853572607040405,3.502108156681061,1.63759628080129e-07,0.6574390456080437,0.0082079037383664,13.93674612045288,0.057502620620653,81.83799386024475,1.2995031761024882,1.5967296144326573,
2019,PANW,Nikesh Arora,44.0,Man,middle eastern,neutral,0.0500406720675528,99.94995594024658,3.8660416821266224,11.28553889903658,2.506618164874206,20.248707845730056,33.48213335765203,28.610964334664605,0.0409510917961597,1.480197388270543e-09,0.0013996091183798,0.0049763097194954,0.3848263062536716,0.0001058478687809,99.5677411556244,1.2287231334221294,1.5967296144326573,
